area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit 
华北,0.90,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,0.60,大蒜,天津,none,2018-05-22,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,大蒜,天津,none,2018-05-16,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,大蒜,天津,none,2018-05-15,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,大蒜,天津,none,2018-05-08,蔬菜,元/斤
华北,2.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.30,大蒜,天津,none,2018-05-06,蔬菜,元/斤
华北,2.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.30,大蒜,天津,none,2018-05-03,蔬菜,元/斤
华北,2.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.30,大蒜,天津,none,2018-05-02,蔬菜,元/斤
华北,2.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.30,大蒜,天津,none,2018-04-26,蔬菜,元/斤
华北,2.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.30,大蒜,天津,none,2018-04-25,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,生菜,天津,none,2017-04-03,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,生菜,天津,none,2017-04-02,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,生菜,天津,none,2017-03-31,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,生菜,天津,none,2017-03-30,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,生菜,天津,none,2017-03-28,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,0.80,生菜,天津,none,2017-03-23,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,0.80,生菜,天津,none,2017-03-22,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,0.80,生菜,天津,none,2017-03-21,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,0.80,生菜,天津,none,2017-03-20,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,0.80,生菜,天津,none,2017-03-17,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.50,生菜,天津,none,2017-03-09,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.50,生菜,天津,none,2017-03-07,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.50,生菜,天津,none,2017-03-04,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.50,生菜,天津,none,2017-03-03,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.50,生菜,天津,none,2017-03-02,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.50,生菜,天津,none,2017-03-01,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.50,生菜,天津,none,2017-02-28,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.50,生菜,天津,none,2017-02-27,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,生菜,天津,none,2017-02-26,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,生菜,天津,none,2017-02-24,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,生菜,天津,none,2017-02-23,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,生菜,天津,none,2017-02-22,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,生菜,天津,none,2017-02-21,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,生菜,天津,none,2017-02-20,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.20,1.80,生菜,天津,none,2017-02-17,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,生菜,天津,none,2018-08-18,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,生菜,天津,none,2018-08-17,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,生菜,天津,none,2018-08-13,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,生菜,天津,none,2018-08-12,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,5.00,2.50,生菜,天津,none,2018-08-08,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,5.00,2.50,生菜,天津,none,2018-08-07,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.20,生菜,天津,none,2018-08-06,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.20,生菜,天津,none,2018-08-03,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.20,生菜,天津,none,2018-08-02,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.20,生菜,天津,none,2018-08-01,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.20,生菜,天津,none,2018-07-31,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,生菜,天津,none,2018-07-14,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.00,生菜,天津,none,2018-06-23,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,0.80,生菜,天津,none,2018-05-29,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,生菜,天津,none,2018-05-25,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,生菜,天津,none,2018-05-24,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,生菜,天津,none,2018-05-23,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,生菜,天津,none,2018-05-22,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,生菜,天津,none,2018-05-16,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,生菜,天津,none,2018-05-15,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,生菜,天津,none,2018-05-14,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,生菜,天津,none,2018-05-08,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,生菜,天津,none,2018-05-07,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,生菜,天津,none,2018-05-06,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,生菜,天津,none,2018-05-04,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,韭菜,天津,none,2018-08-18,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,韭菜,天津,none,2018-08-13,蔬菜,元/斤
华北,2.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.50,韭菜,天津,none,2018-08-12,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,韭菜,天津,none,2018-08-08,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,韭菜,天津,none,2018-08-07,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,2.00,韭菜,天津,none,2018-08-06,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,2.00,韭菜,天津,none,2018-08-03,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,2.00,韭菜,天津,none,2018-08-02,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,2.00,韭菜,天津,none,2018-08-01,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,2.00,韭菜,天津,none,2018-07-31,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,韭菜,天津,none,2018-07-14,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,韭菜,天津,none,2018-06-23,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,韭菜,天津,none,2018-05-29,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,韭菜,天津,none,2018-05-25,蔬菜,元/斤
华北,1.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.60,韭菜,天津,none,2018-05-24,蔬菜,元/斤
华北,1.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.60,韭菜,天津,none,2018-05-23,蔬菜,元/斤
华北,1.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.60,韭菜,天津,none,2018-05-22,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,韭菜,天津,none,2018-05-16,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,韭菜,天津,none,2018-05-15,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,韭菜,天津,none,2018-05-14,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.80,韭菜,天津,none,2018-05-08,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.80,韭菜,天津,none,2018-05-07,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.80,韭菜,天津,none,2018-05-06,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.80,韭菜,天津,none,2018-05-03,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,韭菜,天津,none,2018-05-02,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.60,1.30,大葱,天津,none,2018-08-18,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.60,1.30,大葱,天津,none,2018-08-13,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.60,1.30,大葱,天津,none,2018-08-12,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-08,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-07,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-06,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-03,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-02,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-01,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-07-31,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.40,1.00,大葱,天津,none,2018-07-14,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,大葱,天津,none,2018-06-23,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-05-29,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-25,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-24,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-23,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-22,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-16,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-15,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-08,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-06,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-03,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-02,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-04-26,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-04-25,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.60,0.40,大白菜,天津,none,2017-05-02,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2017-05-01,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2017-04-20,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2017-04-18,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2017-04-17,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2017-04-14,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.60,0.40,大白菜,天津,none,2017-04-12,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.60,0.40,大白菜,天津,none,2017-04-11,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.60,0.40,大白菜,天津,none,2017-04-10,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-04-09,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-04-08,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-04-05,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-04-03,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-04-02,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-03-31,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-03-30,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-03-28,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-03-23,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-03-22,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-03-21,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-03-20,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-03-19,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-03-17,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-03-09,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.35,大白菜,天津,none,2017-03-07,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.50,大白菜,天津,none,2018-08-18,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.50,大白菜,天津,none,2018-08-17,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.50,大白菜,天津,none,2018-08-13,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-08-12,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-08-08,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-08-07,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-08-06,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-08-03,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-08-02,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-08-01,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-07-31,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.50,大白菜,天津,none,2018-07-14,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大白菜,天津,none,2018-06-23,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-05-29,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-05-25,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-05-24,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-05-23,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-05-22,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.60,0.40,大白菜,天津,none,2018-05-16,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.60,0.40,大白菜,天津,none,2018-05-15,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.60,0.40,大白菜,天津,none,2018-05-14,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2018-05-08,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2018-05-07,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2018-05-06,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2018-05-04,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-18,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-13,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-12,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-08,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-07,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-06,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-03,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-02,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-01,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-07-31,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-07-14,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-06-23,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-05-29,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-05-25,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-05-24,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-05-23,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-05-22,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-16,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-15,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-14,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-08,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-06,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-03,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-02,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-04-30,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,油菜,天津,none,2017-06-13,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,油菜,天津,none,2017-06-12,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,油菜,天津,none,2017-06-09,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,0.80,油菜,天津,none,2017-06-03,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,0.80,油菜,天津,none,2017-06-01,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,油菜,天津,none,2017-05-31,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,0.70,油菜,天津,none,2017-05-24,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,0.70,油菜,天津,none,2017-05-23,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,油菜,天津,none,2017-05-22,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,油菜,天津,none,2017-05-21,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,油菜,天津,none,2017-05-20,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,油菜,天津,none,2017-05-17,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,油菜,天津,none,2017-05-15,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,油菜,天津,none,2017-05-10,蔬菜,元/斤
